property,species,enrichment_quantity,enriched,enrichment_state
Anatomical structure morphogenesis,borangutan,0.0,0,not_enriched
Anatomical structure morphogenesis,chimpanzee,0.0,0,not_enriched
Anatomical structure morphogenesis,gibbon,0.0,0,not_enriched
Anatomical structure morphogenesis,sorangutan,0.0,0,not_enriched
Anatomical structure morphogenesis,gorilla,0.3845,1,enriched
Nucleotide binding,bonobo,0.0,0,not_enriched
Nucleotide binding,human,0.0,0,not_enriched
Nucleotide binding,borangutan,0.0,0,not_enriched
Nucleotide binding,chimpanzee,0.0,0,not_enriched
Nucleotide binding,gibbon,0.0,0,not_enriched
Nucleotide binding,sorangutan,0.0,0,not_enriched
Nucleotide binding,gorilla,0.3658,1,enriched
Nucleoside phosphate binding,bonobo,0.0,0,not_enriched
Nucleoside phosphate binding,human,0.0,0,not_enriched
Nucleoside phosphate binding,borangutan,0.0,0,not_enriched
Nucleoside phosphate binding,chimpanzee,0.0,0,not_enriched
Nucleoside phosphate binding,gibbon,0.0,0,not_enriched
Nucleoside phosphate binding,sorangutan,0.0,0,not_enriched
Nucleoside phosphate binding,gorilla,0.3655,1,enriched
Reg. of cellular component organization,bonobo,0.0,0,not_enriched
Reg. of cellular component organization,human,0.0,0,not_enriched
Reg. of cellular component organization,borangutan,0.0,0,not_enriched
Reg. of cellular component organization,chimpanzee,0.0,0,not_enriched
Reg. of cellular component organization,gibbon,0.0,0,not_enriched
Reg. of cellular component organization,sorangutan,0.0,0,not_enriched
Reg. of cellular component organization,gorilla,0.3653,1,enriched
Small molecule binding,bonobo,0.0,0,not_enriched
Small molecule binding,human,0.0,0,not_enriched
Small molecule binding,borangutan,0.0,0,not_enriched
Small molecule binding,chimpanzee,0.0,0,not_enriched
Small molecule binding,gibbon,0.0,0,not_enriched
Small molecule binding,sorangutan,0.0,0,not_enriched
Small molecule binding,gorilla,0.3615,1,enriched
Anion binding,bonobo,0.0,0,not_enriched
Anion binding,human,0.0,0,not_enriched
Anion binding,borangutan,0.0,0,not_enriched
Anion binding,chimpanzee,0.0,0,not_enriched
Anion binding,gibbon,0.0,0,not_enriched
Anion binding,sorangutan,0.0,0,not_enriched
Anion binding,gorilla,0.3607,1,enriched
Coiled coil,bonobo,0.0,0,not_enriched
Coiled coil,human,0.0,0,not_enriched
Coiled coil,borangutan,0.0,0,not_enriched
Coiled coil,chimpanzee,0.0,0,not_enriched
Coiled coil,gibbon,0.0,0,not_enriched
Coiled coil,sorangutan,0.0,0,not_enriched
Coiled coil,gorilla,0.3345,1,enriched
