property,species,foreground,background,enrichment_quantity,fg_bg_pair,enriched,enrichment_state
Retrograde endocannabinoid signaling,chimpanzee,genes_with_shadow,genes_with_shadow,0.0,genes_with_shadow | genes_with_shadow,0,not_enriched
Retrograde endocannabinoid signaling,chimpanzee,genes_without_shadow,no_bg,0.0,genes_without_shadow | no_bg,0,not_enriched
Retrograde endocannabinoid signaling,chimpanzee,genes_without_shadow,all_genes,0.0,genes_without_shadow | all_genes,0,not_enriched
Retrograde endocannabinoid signaling,chimpanzee,genes_without_shadow,genes_with_shadow,0.0,genes_without_shadow | genes_with_shadow,0,not_enriched
Retrograde endocannabinoid signaling,human,symmetric_shadow,no_bg,0.0,symmetric_shadow | no_bg,0,not_enriched
Retrograde endocannabinoid signaling,human,symmetric_shadow,all_genes,0.0,symmetric_shadow | all_genes,0,not_enriched
Retrograde endocannabinoid signaling,human,symmetric_shadow,genes_with_shadow,0.0,symmetric_shadow | genes_with_shadow,0,not_enriched
Retrograde endocannabinoid signaling,human,no_upstream,no_bg,0.0,no_upstream | no_bg,0,not_enriched
Retrograde endocannabinoid signaling,human,no_upstream,all_genes,0.0,no_upstream | all_genes,0,not_enriched
Retrograde endocannabinoid signaling,human,no_upstream,genes_with_shadow,0.0,no_upstream | genes_with_shadow,0,not_enriched
Retrograde endocannabinoid signaling,human,no_downstream,no_bg,0.0,no_downstream | no_bg,0,not_enriched
Retrograde endocannabinoid signaling,human,no_downstream,all_genes,0.0,no_downstream | all_genes,0,not_enriched
Retrograde endocannabinoid signaling,human,no_downstream,genes_with_shadow,0.0,no_downstream | genes_with_shadow,0,not_enriched
Retrograde endocannabinoid signaling,human,genes_with_shadow,no_bg,0.0,genes_with_shadow | no_bg,0,not_enriched
Retrograde endocannabinoid signaling,human,genes_with_shadow,all_genes,0.0,genes_with_shadow | all_genes,0,not_enriched
Retrograde endocannabinoid signaling,human,genes_with_shadow,genes_with_shadow,0.0,genes_with_shadow | genes_with_shadow,0,not_enriched
Retrograde endocannabinoid signaling,human,genes_without_shadow,no_bg,0.0,genes_without_shadow | no_bg,0,not_enriched
Retrograde endocannabinoid signaling,human,genes_without_shadow,all_genes,0.0,genes_without_shadow | all_genes,0,not_enriched
Retrograde endocannabinoid signaling,human,genes_without_shadow,genes_with_shadow,0.0,genes_without_shadow | genes_with_shadow,0,not_enriched
Retrograde endocannabinoid signaling,gibbon,symmetric_shadow,no_bg,0.0,symmetric_shadow | no_bg,0,not_enriched
Retrograde endocannabinoid signaling,gibbon,symmetric_shadow,all_genes,0.0,symmetric_shadow | all_genes,0,not_enriched
Retrograde endocannabinoid signaling,gibbon,symmetric_shadow,genes_with_shadow,0.0,symmetric_shadow | genes_with_shadow,0,not_enriched
Retrograde endocannabinoid signaling,gibbon,no_upstream,no_bg,0.0,no_upstream | no_bg,0,not_enriched
Retrograde endocannabinoid signaling,gibbon,no_upstream,all_genes,0.0,no_upstream | all_genes,0,not_enriched
Retrograde endocannabinoid signaling,gibbon,no_upstream,genes_with_shadow,0.0,no_upstream | genes_with_shadow,0,not_enriched
Retrograde endocannabinoid signaling,gibbon,no_downstream,no_bg,0.0,no_downstream | no_bg,0,not_enriched
Retrograde endocannabinoid signaling,gibbon,no_downstream,all_genes,0.0,no_downstream | all_genes,0,not_enriched
Retrograde endocannabinoid signaling,gibbon,no_downstream,genes_with_shadow,0.0,no_downstream | genes_with_shadow,0,not_enriched
Retrograde endocannabinoid signaling,gibbon,genes_with_shadow,no_bg,0.0,genes_with_shadow | no_bg,0,not_enriched
Retrograde endocannabinoid signaling,gibbon,genes_with_shadow,all_genes,0.0,genes_with_shadow | all_genes,0,not_enriched
Retrograde endocannabinoid signaling,gibbon,genes_with_shadow,genes_with_shadow,0.0,genes_with_shadow | genes_with_shadow,0,not_enriched
Retrograde endocannabinoid signaling,gibbon,genes_without_shadow,no_bg,0.0,genes_without_shadow | no_bg,0,not_enriched
Retrograde endocannabinoid signaling,gibbon,genes_without_shadow,all_genes,0.0,genes_without_shadow | all_genes,0,not_enriched
Retrograde endocannabinoid signaling,gibbon,genes_without_shadow,genes_with_shadow,0.0,genes_without_shadow | genes_with_shadow,0,not_enriched
Chemical Carcinogens - ROS,bonobo,symmetric_shadow,no_bg,0.0,symmetric_shadow | no_bg,0,not_enriched
Chemical Carcinogens - ROS,bonobo,symmetric_shadow,all_genes,0.0,symmetric_shadow | all_genes,0,not_enriched
Chemical Carcinogens - ROS,bonobo,symmetric_shadow,genes_with_shadow,0.0,symmetric_shadow | genes_with_shadow,0,not_enriched
Chemical Carcinogens - ROS,bonobo,no_upstream,no_bg,0.0,no_upstream | no_bg,0,not_enriched
Chemical Carcinogens - ROS,bonobo,no_upstream,all_genes,0.0,no_upstream | all_genes,0,not_enriched
Chemical Carcinogens - ROS,bonobo,no_upstream,genes_with_shadow,0.0,no_upstream | genes_with_shadow,0,not_enriched
Chemical Carcinogens - ROS,bonobo,no_downstream,no_bg,0.0,no_downstream | no_bg,0,not_enriched
Chemical Carcinogens - ROS,bonobo,no_downstream,all_genes,0.0,no_downstream | all_genes,0,not_enriched
Chemical Carcinogens - ROS,bonobo,no_downstream,genes_with_shadow,0.0,no_downstream | genes_with_shadow,0,not_enriched
Chemical Carcinogens - ROS,bonobo,genes_with_shadow,no_bg,0.0,genes_with_shadow | no_bg,0,not_enriched
Chemical Carcinogens - ROS,bonobo,genes_with_shadow,all_genes,0.0,genes_with_shadow | all_genes,0,not_enriched
Chemical Carcinogens - ROS,bonobo,genes_with_shadow,genes_with_shadow,0.0,genes_with_shadow | genes_with_shadow,0,not_enriched
Chemical Carcinogens - ROS,bonobo,genes_without_shadow,no_bg,0.4042,genes_without_shadow | no_bg,1,enriched
Chemical Carcinogens - ROS,bonobo,genes_without_shadow,all_genes,0.4042,genes_without_shadow | all_genes,1,enriched
Chemical Carcinogens - ROS,bonobo,genes_without_shadow,genes_with_shadow,0.0,genes_without_shadow | genes_with_shadow,0,not_enriched
Chemical Carcinogens - ROS,borangutan,symmetric_shadow,no_bg,0.0,symmetric_shadow | no_bg,0,not_enriched
Chemical Carcinogens - ROS,borangutan,symmetric_shadow,all_genes,0.0,symmetric_shadow | all_genes,0,not_enriched
Chemical Carcinogens - ROS,borangutan,symmetric_shadow,genes_with_shadow,0.0,symmetric_shadow | genes_with_shadow,0,not_enriched
Chemical Carcinogens - ROS,borangutan,no_upstream,no_bg,0.0,no_upstream | no_bg,0,not_enriched
Chemical Carcinogens - ROS,borangutan,no_upstream,all_genes,0.0,no_upstream | all_genes,0,not_enriched
Chemical Carcinogens - ROS,borangutan,no_upstream,genes_with_shadow,0.0,no_upstream | genes_with_shadow,0,not_enriched
Chemical Carcinogens - ROS,borangutan,no_downstream,no_bg,0.0,no_downstream | no_bg,0,not_enriched
Chemical Carcinogens - ROS,borangutan,no_downstream,all_genes,0.0,no_downstream | all_genes,0,not_enriched
